Name,Proper Name,MasTrack Name,Branch,Hospital System,Hospital System Proper,Address,Latitude,Longitude,Item Type,Path
A O  FOX MEMORIAL HOSP - WRIGHT/TORNIER,A O Fox Memorial Hospital,A O Fox Memorial Hospital,Hartford Hub,A O  FOX MEMORIAL HOSP,A O  Fox Memorial Hospital,"1 Norton Ave, Oneonta, NY 13820",42.1248082,-75.0522621,Item,sites/AnalyticsTeam/Lists/CT Destinations
ADVANCE MED FOOT CARE LLC,Advance Med Foot Care LLC,Advance Med Foot Care LLC,ANC East Hartford (F01),ADVANCE MED FOOT CARE LLC,Advance Med Foot Care Llc,"1817 Black Rock Tpke Fairfield, CT 06825",42.1248082,-73.2468249,Item,sites/AnalyticsTeam/Lists/CT Destinations
ALBANY MED CTR - WRIGHT/TORNIER,Albany Med Center,Albany Med Center,Hartford Hub,ALBANY MED CTR,Albany Med Center,"43 New Scotland Ave, Albany, NY 12208",42.1248082,-73.7759622,Item,sites/AnalyticsTeam/Lists/CT Destinations
ALICE PECK DAY MEM HOSP - WRIGHT/TORNIER - HHAR,Alice Peck Day Mem Hospital,Alice Peck Day Mem Hospital,Hartford Hub,NEW HOSPITAL,New Hospital,"10 Alice Peck Day Dr, Lebanon, NH 03766",42.1248082,-72.2638103,Item,sites/AnalyticsTeam/Lists/CT Destinations
AMBULATORY SURG CTR WESTERN NY - WRIGHT/TORNIER - HHAR,Ambulatory Surg Center Western NY,,Hartford Hub,NEW HOSPITAL,New Hospital,"945 Sweet Home Rd, Buffalo, NY 14226",42.1248082,-78.8041943,Item,sites/AnalyticsTeam/Lists/CT Destinations
AMHERST SURGICAL CTR - WRIGHT/TORNIER - HEAS,Amherst Surgical Center,Amherst Surgical Center,Hartford Hub,NEW HOSPITAL,New Hospital,"3112 Sheridan Dr Buffalo, NY 14226",42.1248082,-78.8183284,Item,sites/AnalyticsTeam/Lists/CT Destinations
ARNOT OGDEN MED CTR - WRIGHT/TORNIER,Arnot Ogden Med Center,Arnot Ogden Med Center,Hartford Hub,ARNOT OGDEN MED CTR,Arnot Ogden Med Center,"600 Roe Ave Elmira, NY 14905",42.1248082,-76.8306703,Item,sites/AnalyticsTeam/Lists/CT Destinations
AUBURN COMM HOSP - WRIGHT/TORNIER,Auburn Comm Hospital,Auburn Comm Hospital,Hartford Hub,NEW HOSPITAL,New Hospital,"17 Lansing St Auburn, NY 13021",42.1248082,-76.5639273,Item,sites/AnalyticsTeam/Lists/CT Destinations
BASSETT HEALTHCARE - WRIGHT/TORNIER,Bassett Healthcare,Bassett Healthcare,Hartford Hub,BASSETT HLTHCR,Bassett Healthcare,"105 Grove St, Cooperstown, NY 13326",42.1248082,-74.9351573,Item,sites/AnalyticsTeam/Lists/CT Destinations
BASSETT HLTH COBLESKILL REG HOSP,Bassett Healthcare Cobleskill Reg Hospital,Bassett Healthcare Cobleskill Reg Hospital,ANC East Hartford (F01),BASSETT HEALTHCARE,Bassett Healthcare,"178 Grandview Dr, Cobleskill, NY 12043",42.1248082,-74.4819614,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE FRANKLIN MEM HOSP - WRIGHT/TORNIER,Baystate Franklin Mem Hospital,Baystate Franklin Mem Hospital,Hartford Hub,BAYSTATE MED CTR,Baystate Med Center,"164 High Street Greenfield, MA 01301",42.5962034,-72.5923856,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE MED CTR,Baystate Med Center 2,Baystate Med Center 2,ANC East Hartford (F01),BAYSTATE MED CTR,Baystate Med Center,"361 Whitney Ave, Holyoke, MA 01040",42.1668669,-72.6479552,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE MED CTR - WRIGHT/TORNIER,Baystate Med Center,Baystate Med Center,Hartford Hub,BAYSTATE MED CTR,Baystate Med Center,"759 Chestnut St. Springfield, MA 01199",42.1229423,-72.6037297,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE MED CTR-1,Baystate Med Center,Baystate Med Center,ANC East Hartford (F01),BAYSTATE MED CTR,Baystate Med Center,"759 Chestnut St, Springfield, MA 01107",42.1229423,-72.6037297,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE MED CTR-2,Baystate Med Center,Baystate Med Center,ANC East Hartford (F01),BAYSTATE MED CTR,Baystate Med Center,"759 Chestnut St, Springfield, MA 01107",42.1229423,-72.6037297,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE MED CTR-3,Baystate Orthopedic Surg Center,Baystate Orthopedic Surg Cente,ANC East Hartford (F01),BAYSTATE MED CTR,Baystate Med Center,"50 Wason Ave, Springfield, MA 01107",42.1248082,-72.6156713,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE NE ORTHO SURGEON ALLIANCES-WRIGHT/TORNIER HHAR,Baystate Orthopedic Surg Center,Baystate Orthopedic Surg Cente,Hartford Hub,BAYSTATE NE ORTHO SURGEON ALLIANCES,Baystate Ne Ortho Surgeon Alliances,"50 Wason Ave, Springfield, MA 01107",42.1248082,-72.6156713,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE NOBLE HOSP CORP,Baystate Noble Hospital Corp,Baystate Noble Hospital Corp,ANC East Hartford (F01),BAYSTATE NOBLE HOSP CORP,Baystate Noble Hospital Corp,"115 W Silver St, Westfield, MA 01085",42.1248082,-72.759812,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE ORTHOPEDIC SURG CTR,Baystate Orthopedic Surg Center,Baystate Orthopedic Surg Cente,ANC East Hartford (F01),BAYSTATE ORTHOPEDIC SURG CTR,Baystate Orthopedic Surg Center,"50 Wason Ave, Springfield, MA 01107",42.1248082,-72.6156713,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE ORTHOPEDIC SURG CTR - WRIGHT/TORNIER,Baystate Orthopedic Surg Center,Baystate Orthopedic Surg Cente,Hartford Hub,BAYSTATE ORTHOPEDIC SURG CTR,Baystate Orthopedic Surg Center,"50 Wason Ave, Springfield, MA 01107",42.1248082,-72.6156713,Item,sites/AnalyticsTeam/Lists/CT Destinations
BAYSTATE WING HOSP,Baystate Wing Hospital,Baystate Wing Hospital,ANC East Hartford (F01),BAYSTATE WING HOSP,Baystate Wing Hospital,"40 Wright St, Palmer, MA 01069",42.1248082,-72.3421459,Item,sites/AnalyticsTeam/Lists/CT Destinations
BERKSHIRE MED CTR,Berkshire Med Center,Berkshire Med Center,ANC East Hartford (F01),BERKSHIRE MED CTR,Berkshire Med Center,"725 North St, Pittsfield, MA 01201",42.1248082,-73.2493172,Item,sites/AnalyticsTeam/Lists/CT Destinations
BERKSHIRE MED CTR - WRIGHT/TORNIER,Berkshire Med Center,Berkshire Med Center,Hartford Hub,BERKSHIRE MED CTR,Berkshire Med Center,"725 North St, Pittsfield, MA 01201",42.1248082,-73.2493172,Item,sites/AnalyticsTeam/Lists/CT Destinations
BERKSHIRE MED CTR-1,Crane Center For Ambulatory Surgery,Crane Center For Ambulatory Surgery,ANC East Hartford (F01),BERKSHIRE MED CTR,Berkshire Med Center,"24 Park St, Pittsfield, MA 01201",42.1248082,-73.250629,Item,sites/AnalyticsTeam/Lists/CT Destinations
BERKSHIRE MED CTR-2,Berkshire Med Center 2,Berkshire Med Center 2,ANC East Hartford (F01),BERKSHIRE MED CTR,Berkshire Med Center,"71 Hospital Ave, North Adams, MA 01247",42.1248082,-73.1100996,Item,sites/AnalyticsTeam/Lists/CT Destinations
BINGHAMTON GEN HOSP - WRIGHT/TORNIER,Binghamton Gen Hospital,Binghamton Gen Hospital,Hartford Hub,BINGHAMTON GEN HOSP,Binghamton Gen Hospital,"10-42 Mitchell Ave, Binghamton, NY 13903",42.1248082,-75.9146094,Item,sites/AnalyticsTeam/Lists/CT Destinations
BLOOMFIELD ASC,Bloomfield Asc,Bloomfield Asc,ANC East Hartford (F01),BLOOMFIELD ASC,Bloomfield Asc,"580 Cottage Grove Rd, Bloomfield, CT 06002",42.1248082,-72.726803,Item,sites/AnalyticsTeam/Lists/CT Destinations
BONE AND JOINT INST (HARTFORD HOSP) - WRIGHT/TORNIER,Bone And Joint Inst (Hartford Hospital),Hartford Hospital,Hartford Hub,HARTFORD HOSP,Hartford Hospital,"32 Seymour St, Hartford, CT 06106",42.1248082,-72.6805362,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRANFORD SURG CTR,Branford Surg Center,Branford Surg Center,ANC East Hartford (F01),BRANFORD SURG CTR,Branford Surg Center,"84 N Main St, Branford, CT 06405",42.1248082,-72.8211742,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRANFORD SURG CTR - WRIGHT/TORNIER,Branford Surg Center,Branford Surg Center,Hartford Hub,BRANFORD SURG CTR,Branford Surg Center,"84 N Main St, Branford, CT 06405",42.1248082,-72.8211742,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRATTLEBORO MEM HOSP - WRIGHT/TORNIER,Brattleboro Memorial Hospital,Brattleboro Memorial Hospital,Hartford Hub,BRATTLEBORO MEMORIAL HOSP,Brattleboro Memorial Hospital,"17 Belmont Ave, Brattleboro, VT 05301",42.1248082,-72.5650229,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRATTLEBORO MEMORIAL HOSP,Brattleboro Memorial Hospital,Brattleboro Memorial Hospital,ANC East Hartford (F01),BRATTLEBORO MEMORIAL HOSP,Brattleboro Memorial Hospital,"17 Belmont Ave, Brattleboro, VT 05301",42.1248082,-72.5650229,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRIDGEPORT HOSP,Bridgeport Hospital,Bridgeport Hospital,ANC East Hartford (F01),YALE NEW HAVEN HOSP,Yale New Haven Hospital,"267 Grant St, Bridgeport, CT 066109",42.1248082,-73.1657995,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRIDGEPORT HOSP - WRIGHT/TORNIER,Bridgeport Hospital,Bridgeport Hospital,Hartford Hub,BRIDGEPORT HOSP,Bridgeport Hospital,"267 Grant St, Bridgeport, CT 06610",42.1248082,-73.1657995,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRIDGEPORT HOSP MILFORD CAMPUS,Bridgeport Hospital Milford Campus,Bridgeport Hospital Milford Campus,ANC East Hartford (F01),BRIDGEPORT HOSP MILFORD CAMPUS,Bridgeport Hospital Milford Campus,"2047 Bridgeport Ave, Milford, CT 06460",42.1248082,-73.0658321,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRIDGEPORT HOSP MILFORD CAMPUS - WRIGHT/TORNIER,Bridgeport Hospital Milford Campus,Bridgeport Hospital Milford Campus,Hartford Hub,BRIDGEPORT HOSP MILFORD CAMPUS,Bridgeport Hospital Milford Campus,"2047 Bridgeport Ave, Milford, CT 06460",42.1248082,-73.0658321,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRIDGEPORT HOSP-1,Park Ave Med Center,,ANC East Hartford (F01),BRIDGEPORT HOSP,Bridgeport Hospital,"5520 Park Ave, Trumbull, CT 06611",42.1248082,-73.2422104,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRISTOL HOSP,Bristol Hospital,Bristol Hospital,ANC East Hartford (F01),BRISTOL HOSP,Bristol Hospital,"41 Brewster Rd, Bristol, CT 06010",42.1248082,-72.9356164,Item,sites/AnalyticsTeam/Lists/CT Destinations
BRISTOL HOSP - WRIGHT/TORNIER,Bristol Hospital,Bristol Hospital,Hartford Hub,BRISTOL HOSP,Bristol Hospital,"41 Brewster Rd, Bristol, CT 06010",42.1248082,-72.9356164,Item,sites/AnalyticsTeam/Lists/CT Destinations
BROOKS MEM HOSP - WRIGHT/TORNIER - HHAR,Brooks Mem Hospital,Brooks Mem Hospital,Hartford Hub,NEW HOSPITAL,New Hospital,"529 Central Ave, Dunkirk, NY 14048",42.1248082,-79.3347618,Item,sites/AnalyticsTeam/Lists/CT Destinations
BUFFALO SURG CTR - WRIGHT/TORNIER - HHAR,Buffalo Surg Center,Buffalo Surg Center,Hartford Hub,NEW HOSPITAL,New Hospital,"3921 Sheridan Dr, Amherst, NY 14226",42.1248082,-78.7905629,Item,sites/AnalyticsTeam/Lists/CT Destinations
CANTON POTSDAM HOSP - WRIGHT/TORNIER - HHAR,Canton Potsdam Hospital,Canton Potsdam Hospital,Hartford Hub,NEW HOSPITAL,New Hospital,"50 Leroy St, Potsdam, NY 13676",42.1248082,-74.9826426,Item,sites/AnalyticsTeam/Lists/CT Destinations
CAPITAL REGION AMBULATORY SURGERY CTR (CROG),Capital Region Orthopaedic Group,Capital Region Orthopaedic Group,ANC East Hartford (F01),CAPITAL REGION AMBULATORY SURGERY CENTER,Capital Region Ambulatory Surgery Center,"1367 Washington Ave, Albany, NY 12206",42.1248082,-73.8111413,Item,sites/AnalyticsTeam/Lists/CT Destinations
CAPITAL REGION ORTHOPAEDIC GROUP - WRIGHT/TORNIER,Capital Region Orthopaedic Group,Capital Region Orthopaedic Group,Hartford Hub,CAPITAL REGION ORTHOPAEDIC GROUP,Capital Region Orthopaedic Group,"1367 Washington Ave, Albany, NY 12206",42.1248082,-73.8111413,Item,sites/AnalyticsTeam/Lists/CT Destinations
CARTHAGE AREA HOSP - WRIGHT/TORNIER,Carthage Area Hospital,Carthage Area Hospital,Hartford Hub,CARTHAGE AREA HOSP,Carthage Area Hospital,"1001 West St, Carthage, NY 13619",42.1248082,-75.5940738,Item,sites/AnalyticsTeam/Lists/CT Destinations
CAYUGA MED CTR OF ITHACA - WRIGHT/TORNIER,Cayuga Med Center Of Ithaca,Cayuga Med Center Of Ithaca,Hartford Hub,CAYUGA MED CTR OF ITHACA,Cayuga Med Center Of Ithaca,"101 Dates Dr, Ithaca, NY 14850",42.1248082,-76.5374431,Item,sites/AnalyticsTeam/Lists/CT Destinations
CHARLOTTE HUNGERFORD HOSP,Charlotte Hungerford Hospital,Charlotte Hungerford Hospital,ANC East Hartford (F01),CHARLOTTE HUNGERFORD HOSP,Charlotte Hungerford Hospital,"540 Litchfield St, Torrington, CT 06790",42.1248082,-73.1343843,Item,sites/AnalyticsTeam/Lists/CT Destinations
CHARLOTTE HUNGERFORD HOSP - WRIGHT/TORNIER,Charlotte Hungerford Hospital,Charlotte Hungerford Hospital,Hartford Hub,CHARLOTTE HUNGERFORD HOSP,Charlotte Hungerford Hospital,"540 Litchfield St, Torrington, CT 06790",42.1248082,-73.1343843,Item,sites/AnalyticsTeam/Lists/CT Destinations
CHENANGO MEMORIAL HOSPITAL-WRIGHT/TORNIER HHAR,Chenango Memorial Hospital-Wright/Tornier Hhar,,Hartford Hub,CHENANGO MEMORIAL HOSP,Chenango Memorial Hospital,"179 N Broad St, Norwich, NY 13815",42.1248082,-75.5258957,Item,sites/AnalyticsTeam/Lists/CT Destinations
CHESHIRE SURG CTR,Cheshire Surg Center,Cheshire Surg Center,ANC East Hartford (F01),CHESHIRE SURG CTR,Cheshire Surg Center,"764 W Johnson Ave, Cheshire, CT 06410",42.1248082,-72.9240424,Item,sites/AnalyticsTeam/Lists/CT Destinations
CHESHIRE SURG CTR - WRIGHT/TORNIER,Cheshire Surg Center,Cheshire Surg Center,Hartford Hub,SOUTHINGTON SURG CTR,Southington Surg Center,"764 W Johnson Ave, Cheshire, CT 06410",42.1248082,-72.9240424,Item,sites/AnalyticsTeam/Lists/CT Destinations
CLAXTON HEPBURN MED CTR - WRIGHT/TORNIER - HHAR,Claxton Hepburn Med Center,Claxton Hepburn Med Center,Hartford Hub,NEW HOSPITAL,New Hospital,"214 King St, Ogdensburg, NY 13669",42.1248082,-75.4999197,Item,sites/AnalyticsTeam/Lists/CT Destinations
CLIFTON SPRINGS HOSPITAL-WRIGHT/TORNIER HHAR,Clifton Springs Hospital-Wright/Tornier Hhar,Clifton Springs Hospital-Wright/Tornier Hhar,Hartford Hub,CLIFTON SPRINGS HOSP,Clifton Springs Hospital,"2 Coulter Rd, Clifton Springs, NY 14432",42.1248082,-77.1362924,Item,sites/AnalyticsTeam/Lists/CT Destinations
COLUMBIA MEMORIAL HOSP - WRIGHT/TORNIER,Columbia Memorial Hospital,,Hartford Hub,COLUMBIA MEM HOSP,Columbia Mem Hospital,"71 Prospect Ave, Hudson, NY 12534",42.1248082,-73.7778466,Item,sites/AnalyticsTeam/Lists/CT Destinations
COMMUNITY GEN HOSP - WRIGHT/TORNIER,Community Gen Hospital,,Hartford Hub,CMNTY GEN HOSP,Community Gen Hospital,"4900 Broad Rd, Syracuse, NY 13215",42.1248082,-76.1680308,Item,sites/AnalyticsTeam/Lists/CT Destinations
CONNECTICUT CHILDRENS MED CTR,Connecticut Childrens Med Center,Hartford Hospital,ANC East Hartford (F01),CONNECTICUT CHLDS MED CTR,Connecticut Chlds Med Center,"282 Washington St, Hartford, CT 06106",42.1248082,-72.6814739,Item,sites/AnalyticsTeam/Lists/CT Destinations
CONNECTICUT CHILDRENS MED CTR - WRIGHT/TORNIER,Connecticut Childrens Med Center,Hartford Hospital,Hartford Hub,CONNECTICUT CHLDS MED CTR,Connecticut Chlds Med Center,"282 Washington St, Hartford, CT 06106",42.1248082,-72.6814739,Item,sites/AnalyticsTeam/Lists/CT Destinations
CONNECTICUT CHILDRENS MED CTR-1,Connecticut Childrens Med Center,Hartford Hospital,ANC East Hartford (F01),CONNECTICUT CHLDS MED CTR,Connecticut Chlds Med Center,"282 Washington St, Hartford, CT 06106",42.1248082,-72.6814739,Item,sites/AnalyticsTeam/Lists/CT Destinations
CONNECTICUT FT SURG CTR,Connecticut Ft Surg Center,Connecticut Ft Surg Cente,ANC East Hartford (F01),CONNECTICUT FT SURG CTR,Connecticut Ft Surg Center,"318 New Haven Ave, Milford, CT 06460",42.1248082,-73.0436116,Item,sites/AnalyticsTeam/Lists/CT Destinations
CONNECTICUT ORTHOPAEDIC SURG CTR,Connecticut Orthopaedic Surg Center,Connecticut Orthopaedic Surg Center,ANC East Hartford (F01),CONNECTICUT ORTHOPAEDIC SURG CTR,Connecticut Orthopaedic Surg Center,"205 Sub Way, Milford, CT 06461",42.1248082,-73.088516,Item,sites/AnalyticsTeam/Lists/CT Destinations
CONNECTICUT ORTHOPAEDIC SURG CTR - WRIGHT/TORNIER,Connecticut Orthopaedic Surg Center,Connecticut Orthopaedic Surg Center,Hartford Hub,CONNECTICUT ORTHOPAEDIC SURG CTR,Connecticut Orthopaedic Surg Center,"205 Sub Way, Milford, CT 06461",42.1248082,-73.088516,Item,sites/AnalyticsTeam/Lists/CT Destinations
CONNECTICUT SURG CTR,Connecticut Surg Center,Connecticut Surg Center,ANC East Hartford (F01),CONNECTICUT SURG CTR,Connecticut Surg Center,"55 South Rd, Farmington, CT 06032",42.1248082,-72.7977689,Item,sites/AnalyticsTeam/Lists/CT Destinations
CONSTITUTION SURG CTR EAST - WRIGHT/TORNIER,Constitution Surg Center East,Constitution Surg Center East,Hartford Hub,CONSTITUTION SURG CTR EAST,Constitution Surg Center East,"140 Cross, Rd Waterford Ct, 06385",42.1248082,-72.1610964,Item,sites/AnalyticsTeam/Lists/CT Destinations
COOLEY DICKINSON HOSP,Cooley Dickinson Hospital,Cooley Dickinson Hospital,ANC East Hartford (F01),COOLEY DICKINSON HOSP,Cooley Dickinson Hospital,"30 Locust St, Northampton, MA 01060",42.1248082,-72.6537368,Item,sites/AnalyticsTeam/Lists/CT Destinations
COOLEY DICKINSON HOSP - WRIGHT/TORNIER,Cooley Dickinson Hospital,Cooley Dickinson Hospital,Hartford Hub,COOLEY DICKINSON HOSP,Cooley Dickinson Hospital,"30 Locust St, Northampton, MA 01060",42.1248082,-72.6537368,Item,sites/AnalyticsTeam/Lists/CT Destinations
COPLEY HOSP - WRIGHT/TORNIER,Copley Hospital,Copley Hospital,Hartford Hub,COPLEY HOSP,Copley Hospital,"528 Washington Hwy, Morrisville, VT 05661",42.1248082,-72.5914576,Item,sites/AnalyticsTeam/Lists/CT Destinations
CRANE CENTER FOR AMB SURG-WRIGHT/TORNIER HHAR,Crane Center For Ambulatory Surgery,Crane Center For Ambulatory Surgery,Hartford Hub,BERKSHIRE MED CTR,Berkshire Med Center,"24 Park St, Pittsfield, MA 01201",42.1248082,-73.250629,Item,sites/AnalyticsTeam/Lists/CT Destinations
CROUSE HOSP - WRIGHT/TORNIER,Crouse Hospital,Crouse Hospital,Hartford Hub,CROUSE HOSP,Crouse Hospital,"736 Irving Ave, Syracuse, NY 13210",42.1248082,-76.1383371,Item,sites/AnalyticsTeam/Lists/CT Destinations
CT CHILDRENS SURG CTR FARMINGTON,Ct Childrens Surg Center Farmington,Ct Childrens Surg Center Farmington,ANC East Hartford (F01),CT CHILDRENS SURG CTR FARMINGTON,Ct Childrens Surg Center Farmington,"505 Farmington Ave, Farmington, CT 06032",42.1248082,-72.8050645,Item,sites/AnalyticsTeam/Lists/CT Destinations
CTR FOR ADVANCED AMB SURG - WRIGHT/TORNIER,Center For Advanced Amb Surg,,Hartford Hub,NEW HOSPITAL,New Hospital,"4 Medical Park Dr, Malta, NY 12020",42.1248082,-73.8050539,Item,sites/AnalyticsTeam/Lists/CT Destinations
CVW BODY DESIGN CTR,Cvw Body Design Center,Cvw Body Design Center,ANC East Hartford (F01),CVW BODY DESIGN CTR,Cvw Body Design Center,"2001 W Main St, Stamford, CT 06902",42.1248082,-73.5639207,Item,sites/AnalyticsTeam/Lists/CT Destinations
DANBURY HOSP,Danbury Hospital,Danbury Hospital,ANC East Hartford (F01),DANBURY HOSP,Danbury Hospital,"95 Locust Ave, Danbury, CT 06810",42.1248082,-73.445533,Item,sites/AnalyticsTeam/Lists/CT Destinations
DANBURY HOSP - WRIGHT/TORNIER,Danbury Hospital 2,Danbury Hospital,Hartford Hub,DANBURY HOSP,Danbury Hospital,"24 Hospital Ave, Danbury, CT 06810",42.1248082,-73.4458501,Item,sites/AnalyticsTeam/Lists/CT Destinations
